year       ,Jmprec,Fprec,ln(lxbx+0.5),SP,,,,,,,,,,,
1990,8.4328,1.7018,4.0164,MOBE,,,,,,,,,,,
1991,10.2616,2.0828,3.016,MOBE,,,,,,,,,,,
1992,14.1224,5.1562,3.4797,MOBE,,,,,,,,,,,
1993,20.6248,3.7084,3.0502,MOBE,,,,,,,,,,,
1994,6.5278,3.2258,2.9178,MOBE,,,,,,,,,,,
1995,9.3218,4.7244,3.5757,MOBE,,,,,,,,,,,
1996,4.5974,3.7846,-0.6931,MOBE,,,,,,,,,,,
1997,3.8608,1.778,4.823,MOBE,,,,,,,,,,,
1998,16.0274,10.668,4.5053,MOBE,,,,,,,,,,,
1999,0.1016,0,.,MOBE,,,,,,,,,,,
2000,3.683,0.2794,.,MOBE,,,,,,,,,,,
2001,6.0706,0.4064,4.8524,MOBE,,,,,,,,,,,
2002,0.762,0.0762,.,MOBE,,,,,,,,,,,
2003,4.3688,2.8702,.,MOBE,,,,,,,,,,,
2004,5.2578,0.8128,5.6685,MOBE,,,,,,,,,,,
2005,10.414,5.6896,5.0695,MOBE,,,,,,,,,,,
1984,1.524,0,0.0198,PERE,,,,,,,,,,,
1985,9.144,4.3434,-0.6931,PERE,,,,,,,,,,,
1986,8.001,2.3114,2.0181,PERE,,,,,,,,,,,
1987,8.3312,4.5974,3.6464,PERE,,,,,,,,,,,
1988,2.7178,1.0922,1.1628,PERE,,,,,,,,,,,
1989,4.445,0.2032,-0.544,PERE,,,,,,,,,,,
1990,8.4328,1.7018,1.7047,PERE,,,,,,,,,,,
1991,10.2616,2.0828,3.5361,PERE,,,,,,,,,,,
1992,14.1224,5.1562,3.5827,PERE,,,,,,,,,,,
1993,20.6248,3.7084,2.6227,PERE,,,,,,,,,,,
1994,6.5278,3.2258,1.8764,PERE,,,,,,,,,,,
1995,9.3218,4.7244,3.9189,PERE,,,,,,,,,,,
1996,4.5974,3.7846,-0.5388,PERE,,,,,,,,,,,
1997,3.8608,1.778,1.5383,PERE,,,,,,,,,,,
1998,16.0274,10.668,4.706,PERE,,,,,,,,,,,
1999,0.1016,0,-0.6588,PERE,,,,,,,,,,,
2000,3.683,0.2794,-0.5419,PERE,,,,,,,,,,,
2001,6.0706,0.4064,5.1562,PERE,,,,,,,,,,,
2002,0.762,0.0762,-0.6931,PERE,,,,,,,,,,,
2003,4.3688,2.8702,3.9321,PERE,,,,,,,,,,,
2004,5.2578,0.8128,2.0089,PERE,,,,,,,,,,,
2005,10.414,5.6896,4.7765,PERE,,,,,,,,,,,
1984,1.524,0,1.2854,PLIN,,,,,,,,,,,
1985,9.144,4.3434,1.9934,PLIN,,,,,,,,,,,
1986,8.001,2.3114,1.4331,PLIN,,,,,,,,,,,
1987,8.3312,4.5974,3.0043,PLIN,,,,,,,,,,,
1988,2.7178,1.0922,-0.0586,PLIN,,,,,,,,,,,
1989,4.445,0.2032,0.9272,PLIN,,,,,,,,,,,
1990,8.4328,1.7018,3.2771,PLIN,,,,,,,,,,,
1991,10.2616,2.0828,4.0387,PLIN,,,,,,,,,,,
1992,14.1224,5.1562,2.6879,PLIN,,,,,,,,,,,
1993,20.6248,3.7084,1.2848,PLIN,,,,,,,,,,,
1994,6.5278,3.2258,0.6931,PLIN,,,,,,,,,,,
1995,9.3218,4.7244,3.1315,PLIN,,,,,,,,,,,
1996,4.5974,3.7846,0.454,PLIN,,,,,,,,,,,
1997,3.8608,1.778,0.9163,PLIN,,,,,,,,,,,
1998,16.0274,10.668,3.4298,PLIN,,,,,,,,,,,
1999,0.1016,0,-0.6931,PLIN,,,,,,,,,,,
2000,3.683,0.2794,.,PLIN,,,,,,,,,,,
2001,6.0706,0.4064,4.0269,PLIN,,,,,,,,,,,
2002,0.762,0.0762,-0.6931,PLIN,,,,,,,,,,,
2003,4.3688,2.8702,3.2893,PLIN,,,,,,,,,,,
2004,5.2578,0.8128,.,PLIN,,,,,,,,,,,
2005,10.414,5.6896,4.6505,PLIN,,,,,,,,,,,
1984,1.524,0,1.3804,PLPA,,,,,,,,,,,
1985,9.144,4.3434,2.3375,PLPA,,,,,,,,,,,
1986,8.001,2.3114,3.0098,PLPA,,,,,,,,,,,
1987,8.3312,4.5974,2.6896,PLPA,,,,,,,,,,,
1988,2.7178,1.0922,0.4534,PLPA,,,,,,,,,,,
1989,4.445,0.2032,-0.1823,PLPA,,,,,,,,,,,
1990,8.4328,1.7018,-0.6931,PLPA,,,,,,,,,,,
1991,10.2616,2.0828,4.6338,PLPA,,,,,,,,,,,
1992,14.1224,5.1562,2.6664,PLPA,,,,,,,,,,,
1993,20.6248,3.7084,1.9473,PLPA,,,,,,,,,,,
1994,6.5278,3.2258,1.411,PLPA,,,,,,,,,,,
1995,9.3218,4.7244,3.2296,PLPA,,,,,,,,,,,
1996,4.5974,3.7846,-0.6686,PLPA,,,,,,,,,,,
1997,3.8608,1.778,1.5128,PLPA,,,,,,,,,,,
1998,16.0274,10.668,4.1875,PLPA,,,,,,,,,,,
1999,0.1016,0,-0.6931,PLPA,,,,,,,,,,,
2000,3.683,0.2794,.,PLPA,,,,,,,,,,,
2001,6.0706,0.4064,5.3084,PLPA,,,,,,,,,,,
2002,0.762,0.0762,-0.6931,PLPA,,,,,,,,,,,
2003,4.3688,2.8702,3.9879,PLPA,,,,,,,,,,,
2004,5.2578,0.8128,2.435,PLPA,,,,,,,,,,,
2005,10.414,5.6896,4.7381,PLPA,,,,,,,,,,,
1984,1.524,0,1.5246,SCBA,,,,,,,,,,,
1985,9.144,4.3434,3.4177,SCBA,,,,,,,,,,,
1986,8.001,2.3114,3.2696,SCBA,,,,,,,,,,,
1987,8.3312,4.5974,4.046,SCBA,,,,,,,,,,,
1988,2.7178,1.0922,-0.1878,SCBA,,,,,,,,,,,
1989,4.445,0.2032,-0.1621,SCBA,,,,,,,,,,,
1990,8.4328,1.7018,4.4313,SCBA,,,,,,,,,,,
1991,10.2616,2.0828,5.7801,SCBA,,,,,,,,,,,
1992,14.1224,5.1562,6.2467,SCBA,,,,,,,,,,,
1993,20.6248,3.7084,3.7344,SCBA,,,,,,,,,,,
1994,6.5278,3.2258,2.0412,SCBA,,,,,,,,,,,
1995,9.3218,4.7244,3.842,SCBA,,,,,,,,,,,
1996,4.5974,3.7846,-0.599,SCBA,,,,,,,,,,,
1997,3.8608,1.778,2.0794,SCBA,,,,,,,,,,,
1998,16.0274,10.668,5.9849,SCBA,,,,,,,,,,,
1999,0.1016,0,-0.6931,SCBA,,,,,,,,,,,
2000,3.683,0.2794,.,SCBA,,,,,,,,,,,
2001,6.0706,0.4064,5.5795,SCBA,,,,,,,,,,,
2002,0.762,0.0762,-0.6931,SCBA,,,,,,,,,,,
2003,4.3688,2.8702,3.7787,SCBA,,,,,,,,,,,
2004,5.2578,0.8128,4.5681,SCBA,,,,,,,,,,,
2005,10.414,5.6896,6.6174,SCBA,,,,,,,,,,,
1984,1.524,0,1.6094,STMI,,,,,,,,,,,
1985,9.144,4.3434,3.0479,STMI,,,,,,,,,,,
